Participant ID,Shoe Size (EU),Age,Race / Ethnicity,"Sex 
(assigned at birth)",Gender Identity
PMC-01,39,27,White,Female,Woman
PMC-02,,,,Female,
PMC-03,39,32,white,Female,
PMC-04,44.5,31,White,Male,Male
PMC-09,,,,Male,
PMC-05,36,25,East Asian,Female,
PMC-06,44,24,,Male,
PMC-08,37.5,23,Asian,Female,Her
PMC-10,43.5,34,East Asian,Male,Male
PMC-11,35,34,East Asian,Female,she/her
PMC-12,39,55,Asian,Female,
PMC-13,38,21,,Female,Female
PMC-14,39,36,East Asian,Female,Female
PMC-15,42.5,32,Asian,Male,He/him
PMC-16,37.5,24,,Female,
PMC-17,38,19,Asian,Female,
PMC-18,39,28,white,Female,woman
PMC-19,43,22,Asian,Male,
PMC-20,44,29,White,Male,Male
PMC-23,44,63,Caucasian,Male,Male
PMC-07,44,37,White,Male,
PMC-21,9,38,white,Male,
PMC-22,51,40,Caucasian,Male,Male
PMC-24,36,32,white,Female,"transgender, nonbinary"
